"image_link","surrounding_text","href"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/600cc97021b9c49ec41dbd9e705ba59b.jpg?tl=1&ve=1","undefined - Fox News 'MASTERS' CLASS 'MASTERS' CLASS","https://www.foxnews.com/sports/rory-mcilroy-beats-justin-rose-masters-playoff-win-green-jacket-complete-grand-slam"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/2686881c9ef874253088caf55ebece6d.jpg?tl=1&ve=1","undefined - Fox News 'MASTERS' CLASS 'MASTERS' CLASS","https://www.foxnews.com/sports/rory-mcilroy-beats-justin-rose-masters-playoff-win-green-jacket-complete-grand-slam"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/986aec1d2e0247e9ef7a2d88b74a9a3a.jpg?tl=1&ve=1","undefined - Fox News 'MASTERS' CLASS 'MASTERS' CLASS","https://www.foxnews.com/sports/rory-mcilroy-beats-justin-rose-masters-playoff-win-green-jacket-complete-grand-slam"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/7fa962e449f9c8db5397deb1b96ae5ae.jpg?tl=1&ve=1","undefined - Fox News 'MASTERS' CLASS 'MASTERS' CLASS","https://www.foxnews.com/sports/rory-mcilroy-beats-justin-rose-masters-playoff-win-green-jacket-complete-grand-slam"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/kyren-lacy4.jpg?tl=1&ve=1","College football star's death sends shock waves through sports world - Fox News 'CHECK ON YOUR PEOPLE' 'CHECK ON YOUR PEOPLE'","https://www.foxnews.com/sports/kyren-lacys-death-sends-shock-waves-through-sports-world-check-your-people"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2023/08/343/193/GettyImages-1527208548.jpg?tl=1&ve=1","Hundreds of passengers spend the night on grounded planes sitting on the tarmac - Fox News TARMAC TRAP TARMAC TRAP","https://www.foxbusiness.com/lifestyle/300-delta-passengers-left-stranded-tarmac-overnight-after-storms-divert-planes-airport-without-customs"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/0b519736b561b763c3bdeab53e9748da.jpg?tl=1&ve=1","Pete Hegseth unloads on Democrats — then doubles down with receipts - Fox News 'DUMB' AND DUMBER 'DUMB' AND DUMBER","https://www.foxnews.com/media/pete-hegseth-hakeem-jeffries-dumb-effing-individuals-jab-evidence-far-dems-fallen"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2024/10/343/193/gettyimages-1078504972.jpg?tl=1&ve=1","Swing state to remove as many as 50K noncitizens from voter rolls following lawsuit - Fox News THE PURGE THE PURGE","https://www.foxnews.com/politics/scoop-arizona-begin-removing-many-50k-non-citizens-from-voter-rolls-following-lawsuit"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/13c8a0c7edd9ae48a5b13fcfb2e045ff.jpg?tl=1&ve=1","They swore they’d never forget each other — now look who just reunited - Fox News 'SINCERELY YOURS' 'SINCERELY YOURS'","https://www.foxnews.com/entertainment/the-breakfast-club-cast-reunites-first-time-40-years"
"https://static.foxnews.com/static/orion/styles/img/fox-weather/s/logos/fox-weather-logo-no-outline.svg","Fox Weather Logo Irving, TX Irving, TX","https://www.foxweather.com/"
"https://static.foxnews.com/static/orion/styles/img/fox-weather/s/icons/weather/32.svg","Sunny 88˚ 88˚",""
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/229/129/cb55f42ff4043b4262a2a79bcd609f63.jpg?tl=1&ve=1","Thanks for 'squishy' support Collins, but more is needed to make girls' sports trans-free - Fox News OUTKICK
OPINION: Thanks for 'squishy' support Collins, but more is needed to make girls' sports trans-free OUTKICK
OPINION: Thanks for 'squishy' support Collins, but more is needed to make girls' sports trans-free","https://www.outkick.com/analysis/thanks-squishy-support-sen-susan-collins-girls-women-need-backbone-from-you-trans-fight"
